person,job,position
"Carlos Gomes da Silva","Chief Executive Officer, Galp Energia, Portugal","Level 1Top Executive"
"Gong Yingying","Founder and Chairwoman, Yidu Cloud, People's Republic of China","Level 1Top Executive"
"Jane Goodall","Founder, Jane Goodall Institute",""
"Rajesh Gopinathan","Chief Executive Officer and Managing Director, Tata Consultancy Services, India","Level 1Top Executive"
"Roy Gori","President and Chief Executive Officer, Manulife, Canada","Level 1Top Executive"
"James Gorman","Chairman and Chief Executive Officer, Morgan Stanley, USA","Level 1Top Executive"
"Bernardo Gradin","Chief Executive Officer, GranBio Investimentos, Brazil","Level 1Top Executive"
"Mallikarjuna Rao Grandhi","Group Chairman, GMR Group, India","Level 1Top Executive"
"Michael D. Granoff","Chief Executive Officer, Pomona Capital, USA","Level 1Top Executive"
"Mats Granryd","Director-General, GSMA, United Kingdom","Level 1Top Executive"
"Peter T. Grauer","Chairman, Bloomberg, USA","Level 1Top Executive"
"Mario Greco","Chief Executive Officer, Zurich Insurance Group, Switzerland","Level 1Top Executive"
"Lex Greensill","Co-Founder and Chief Executive Officer, Greensill, United Kingdom","Level 1Top Executive"
"Herman Gref","Chief Executive Officer and Chairman of the Board, Sberbank, Russian Federation","Level 1Top Executive"
"Jürgen Griesbeck","Founder and Chief Executive Officer, streetfootballworld, Germany","Level 1Top Executive"
"Fleetwood Grobler","President and Chief Executive Officer, Sasol, South Africa","Level 1Top Executive"
"Marc Grynberg","Chief Executive Officer, Umicore, Belgium","Level 1Top Executive"
"Ajit Gulabchand","Chairman and Managing Director, HCC, India","Level 1Top Executive"
"Steven H. Gunby","President and Chief Executive Officer, FTI Consulting, USA","Level 1Top Executive"
"Guo Guangchang","Chairman, Fosun International, People's Republic of China","Level 1Top Executive"
"Sanjeev Gupta","Executive Chairman and Chief Executive Officer, GFG Alliance, United Kingdom","Level 1Top Executive"
"Chander Prakash Gurnani","Managing Director and Chief Executive Officer, Tech Mahindra, India","Level 1Top Executive"
"Andrey A. Guryev","Chief Executive Officer, PhosAgro, Russian Federation","Level 1Top Executive"
"Salvador Gómez-Colón","Founder, Light & Hope for Puerto Rico, Puerto Rico","Level 1Top Executive"
"Pierre Habbard","General Secretary, Trade Union Advisory Committee (TUAC) to the OECD, France","Level 1Top Executive"
"Torstein Olav Hagen","Chairman, Viking Cruises, Switzerland","Level 1Top Executive"
"Stein Erik Hagen","Chairman, Orkla, Norway","Level 1Top Executive"
"Rosanne Haggerty","President and Chief Executive Officer, Community Solutions, USA","Level 1Top Executive"
"Bassim Haidar","Group Founder and Chief Executive Officer, Channel IT, United Arab Emirates","Level 1Top Executive"
"Samer Haj Yehia","Chairman of the Board, Bank Leumi Le-Israel, Israel","Level 1Top Executive"
"Bandar Hajjar","President, Islamic Development Bank, Saudi Arabia","Level 1Top Executive"
"John J. Haley","Chief Executive Officer, Willis Towers Watson, USA","Level 1Top Executive"
"O. Andreas Halvorsen","Founder and Chief Executive Officer, Viking Global Investors, USA","Level 1Top Executive"
"Ralph Hamers","Chief Executive Officer, ING Group, Netherlands","Level 1Top Executive"
"Kate Hampton","Chief Executive Officer, Children's Investment Fund Foundation (CIFF), United Kingdom","Level 1Top Executive"
"Han Gang","Vice-President, Cedar Holdings Group, People's Republic of China","Level 1Top Executive"
"Otto B. Happel","Chairman, Luserve, Switzerland","Level 1Top Executive"
"Donald R. Harkleroad","President, Bristol Company, USA","Level 1Top Executive"
"Njideka Harry","President and Chief Executive Officer, Youth for Technology Foundation (YTF), USA","Level 1Top Executive"
"Kenneth Harvey","Chairman, CLS Bank International, USA","Level 1Top Executive"
"Richard Hatchett","Chief Executive Officer, Coalition for Epidemic Preparedness and Innovations (CEPI), Norway","Level 1Top Executive"
"Ahmed Heikal","Chairman and Chief Executive Officer, Qalaa Holdings, Egypt","Level 1Top Executive"
"Rob Heyvaert","Founder, Chairman and Chief Executive Officer, Motive Partners, United Kingdom","Level 1Top Executive"
"Takashi Hibino","Chairman of the Board, Daiwa Securities Group, Japan","Level 1Top Executive"
"Toshiaki Higashihara","President and Chief Executive Officer, Hitachi, Japan","Level 1Top Executive"
"Bill Hilf","Chief Executive Officer, Vulcan, USA","Level 1Top Executive"
"Helianti Hilman","Founder and Chairperson, JAVARA, Indonesia","Level 1Top Executive"
"Nobuyuki Hirano","Chairman, Member of the Board of Directors, MUFG (Mitsubishi UFJ Financial Group), Japan","Level 1Top Executive"
"Maren Hjorth Bauer","Chief Executive Officer and Co-Founder, Katapult Ocean, Norway","Level 1Top Executive"
"Ho Kuen Loon","Group Chief Executive Officer, Fullerton Health, Singapore","Level 1Top Executive"
"Eelco Hoekstra","Chairman of the Executive Board and Chief Executive Officer, Royal Vopak, Netherlands","Level 1Top Executive"
"Christy Hoffman","General Secretary, UNI Global Union, Switzerland","Level 1Top Executive"
"André Hoffmann","Chairman, Massellaz, Switzerland","Level 1Top Executive"
"John Holland-Kaye","Chief Executive Officer, Heathrow Airport, United Kingdom","Level 1Top Executive"
"Vicki Hollub","President and Chief Executive Officer, Occidental, USA","Level 1Top Executive"
"Svein Tore Holsether","President and Chief Executive Officer, Yara International, Norway","Level 1Top Executive"
"Klaus Hommels","Founder and Chief Executive Officer, Lakestar Advisors, Switzerland","Level 1Top Executive"
"Yoshito Hori","President, GLOBIS University"," Chairman and Chief Executive Officer, GLOBIS, Japan"
"António Horta-Osório","Chief Executive, Lloyds Banking Group, United Kingdom","Level 1Top Executive"
"Rupert Howes","Chief Executive Officer, Marine Stewardship Council (MSC), United Kingdom","Level 1Top Executive"
"Ken Hu","Deputy Chairman and Rotating Chairman, Huawei Technologies, People's Republic of China","Level 1Top Executive"
"Jeff Huber","Chief Executive Officer, Home Instead Senior Care, USA","Level 1Top Executive"
"Antoine Hubert","President and Chief Executive Officer, Ÿnsect, France","Level 1Top Executive"
"Paul Hudson","Chief Executive Officer, Sanofi, France","Level 1Top Executive"
"Dana Humaid","Chief Executive, Interfaith Alliance for Safer Communities, United Arab Emirates","Level 1Top Executive"
"Khalid Humaidan","Chief Executive Officer, Bahrain Economic Development Board, Bahrain","Level 1Top Executive"
"Brian Humphries","Chief Executive Officer, Cognizant, USA","Level 1Top Executive"
"Hunter Hunt","Chief Executive Officer, Hunt Consolidated Energy, USA","Level 1Top Executive"
"Hur Sae-Hong","President and Chief Executive Officer, GS Caltex, Republic of Korea","Level 1Top Executive"
"Glenn H. Hutchins","Chairman, North Island, USA","Level 1Top Executive"
"Hwang Chang-Gyu","Chairman and Chief Executive Officer, KT Corporation, Republic of Korea","Level 1Top Executive"
"Goldy Hyder","President and Chief Executive Officer, Business Council of Canada, Canada","Level 1Top Executive"
"Masayuki Hyodo","Director, President and Chief Executive Officer, Sumitomo Corporation, Japan","Level 1Top Executive"
"Badr Idrissi","Co-Founder and Chief Executive Officer, ATLAN Space, Morocco","Level 1Top Executive"
"Andrea Illy","Chairman, illycaffè, Italy","Level 1Top Executive"
"Josu Jon Imaz","Chief Executive Officer, Repsol, Spain","Level 1Top Executive"
"Omar Ishrak","Chairman and Chief Executive Officer, Medtronic, USA","Level 1Top Executive"
"Sergey Ivanov","Chief Executive Officer and Chairman of the Executive Committee, Alrosa, Russian Federation","Level 1Top Executive"
"Jayasree K. Iyer","Executive Director, Access to Medicine Foundation, Netherlands","Level 1Top Executive"
"Michael Izza","Chief Executive Officer, ICAEW, United Kingdom","Level 1Top Executive"
"Sir Mohammad Jaafar","Chairman and Chief Executive Officer, Kuwaiti Danish Dairy (KDD), Kuwait","Level 1Top Executive"
"Kenneth M. Jacobs","Chairman of the Board of Directors and Chief Executive Officer, Lazard, USA","Level 1Top Executive"
"Badr Jafar","Chief Executive Officer, Crescent Enterprises, United Arab Emirates","Level 1Top Executive"
"Majid Jafar","Chief Executive Officer, Crescent Petroleum, United Arab Emirates","Level 1Top Executive"
"Siddharth Jain","Director, INOX Group, India","Level 1Top Executive"
"Anshu Jain","President, Cantor Fitzgerald, USA","Level 1Top Executive"
"Ajay Vir Jakhar","Chairman, Bharat Krishak Samaj (Farmers' Forum India), India","Level 1Top Executive"
"Jan Jambon","Minister-President of Flanders, Belgium","Level 1Top Executive"
"Hassan Jameel","Deputy President and Vice-Chairman, Abdul Latif Jameel, United Arab Emirates","Level 1Top Executive"
"Philip Jansen","Chief Executive, BT Group, United Kingdom","Level 1Top Executive"
"Carlos M. Jarque","Executive Director, International Affairs, Government Relations and Corporate Affairs, América Móvil, Mexico","Level 1Top Executive"
"Andy Jassy","Chief Executive Officer, Amazon Web Services, USA","Level 1Top Executive"
"Jeremy Jawish","Chief Executive Officer and Co-Founder, Shift Technology, France","Level 1Top Executive"
"Paul Thomas Jenkins","Chair of the Board, OpenText, Canada","Level 1Top Executive"
"Jo Ann Jenkins","Chief Executive Officer, AARP, USA","Level 1Top Executive"
"Björn Johansson","Chairman, Dr Bjorn Johansson Associates, Switzerland","Level 1Top Executive"
"Mark Johnson","Co-Founder and Chief Executive Officer, Descartes Labs, USA","Level 1Top Executive"
"Robert A. Johnson","President, Institute for New Economic Thinking (INET), USA","Level 1Top Executive"
"Alan Jope","Chief Executive Officer, Unilever, United Kingdom","Level 1Top Executive"
"Khaled A. Juffali","Chairman, Juffali and Brothers, Saudi Arabia","Level 1Top Executive"
"Ilham Kadri","Chief Executive Officer and Chairman of the Executive Committee, Solvay, Belgium","Level 1Top Executive"
"Joe Kaeser","President and Chief Executive Officer, Siemens, Germany","Level 1Top Executive"
"Robert Charles Kain","Chief Executive Officer and Co-Founder, LunaPBC, USA","Level 1Top Executive"
"Fritz Kaiser","Chairman, Kaiser Partner, Liechtenstein","Level 1Top Executive"
"Takehiko Kakiuchi","Member of the Board, President and Chief Executive Officer, Mitsubishi Corporation, Japan","Level 1Top Executive"
"Agnes Matilda Kalibata","President, Alliance for a Green Revolution in Africa (AGRA), Kenya","Level 1Top Executive"
"Paul-Bernhard Kallen","Chairman and Chief Executive Officer, Hubert Burda Media, Germany","Level 1Top Executive"
"Ajay Kalsi","Founder and Chief Executive Officer, Indus Group, United Kingdom","Level 1Top Executive"
"Baba N. Kalyani","Chairman and Managing Director, Bharat Forge, India","Level 1Top Executive"
"Jacob Kam Chak-pui","Chief Executive Officer, MTR, Hong Kong SAR, China","Level 1Top Executive"
"Tihomir D. Kamenov","Founder and Chairman, Commercial League Healthcare Group, Bulgaria","Level 1Top Executive"
"Shobana Kamineni","Executive Vice-Chairperson, Apollo Hospitals Enterprise, India","Level 1Top Executive"
"Hemant Kanoria","Chairman, SREI Infrastructure Finance, India","Level 1Top Executive"
"Sanjeev Kanoria","Chairman, Advinia Healthcare, United Kingdom","Level 1Top Executive"
"Neeraj Kanwar","Vice-Chairman and Managing Director, Apollo Tyres, India","Level 1Top Executive"
"Scott B. Kapnick","Chief Executive Officer, HPS Investment Partners, USA","Level 1Top Executive"
"Anatoly Karachinsky","President and Chief Executive Officer, IBS Group, Russian Federation","Level 1Top Executive"
"Azza Karam","Secretary-General-elect, Religions for Peace, USA","Level 1Top Executive"
"Alex Karp","Chief Executive Officer and Co-Founder, Palantir Technologies, USA","Level 1Top Executive"
"Shinya Katanozaka","Chairman, All Nippon Airways (ANA), Japan","Level 1Top Executive"
"Manish Kejriwal","Managing Partner, Kedaara Capital, India","Level 1Top Executive"
"Declan Kelly","Chairman, Chief Executive Officer and Co-Founder, Teneo, USA","Level 1Top Executive"
"Jason Kelly","Chief Executive Officer, Ginkgo Bioworks, USA","Level 1Top Executive"
"Alfred F. Kelly Jr","Chief Executive Officer and Chairman, Visa, USA","Level 1Top Executive"
"Leanne Kemp","Chief Executive Officer, Everledger, United Kingdom","Level 1Top Executive"
"David Kenny","Chief Executive Officer, Nielsen, USA","Level 1Top Executive"
"Brad Keywell","Founder and Chief Executive Officer, Uptake, USA","Level 1Top Executive"
"Runa Khan","Founder and Executive Director, Friendship Bangladesh, Bangladesh","Level 1Top Executive"
"Uday H. Khemka","Vice-Chairman, SUN Group, India","Level 1Top Executive"
"Umesh Khimji","Chief Executive Officer, Ajit Khimji Group, Oman","Level 1Top Executive"
"Dara Khosrowshahi","Chief Executive Officer, Uber Technologies, USA","Level 1Top Executive"
"Samer S. Khoury","President, Engineering and Construction, Consolidated Contractors Company (CCC), Greece","Level 1Top Executive"
"Pascal Kiener","Chief Executive Officer, Banque Cantonale Vaudoise, Switzerland","Level 1Top Executive"
"David Kim Young-Hoon","Chairman and Chief Executive Officer, Daesung Group, Republic of Korea","Level 1Top Executive"
"Yasushi Kinoshita","Chairman, Development Bank of Japan (DBJ), Japan","Level 1Top Executive"
"Grandhi Kiran Kumar","Corporate Chairman, GMR Group, India","Level 1Top Executive"
"Emily Kirsch","Founder and Managing Partner, Powerhouse Ventures, USA","Level 1Top Executive"
"Tsuneo Kita","Chairman and Group Chief Executive Officer, Nikkei, Japan","Level 1Top Executive"
"Stephen Klasko","President and Chief Executive Officer, Jefferson Health, USA","Level 1Top Executive"
"Stefan Klebert","Chief Executive Officer, GEA Group, Germany","Level 1Top Executive"
"Christian Klein","Co-Chief Executive Officer, SAP, Germany","Level 1Top Executive"
"Charly Kleissner","Co-Founder, Toniic, USA","Level 1Top Executive"
"Carsten Knobel","Chief Executive Officer, Henkel, Germany","Level 1Top Executive"
"Isabelle Kocher","Chief Executive Officer, ENGIE Group, France","Level 1Top Executive"
"Madhu Koneru","Founder and Chief Executive Officer, Kcap Holdings, United Arab Emirates","Level 1Top Executive"
"Dmitry Konov","Chairman of the Management Board, Sibur, Russian Federation","Level 1Top Executive"
"Jules Kortenhorst","Chief Executive Officer, Rocky Mountain Institute, USA","Level 1Top Executive"
"Uday S. Kotak","Managing Director and Chief Executive Officer, Kotak Mahindra Bank, India","Level 1Top Executive"
"Margery Kraus","Founder and Executive Chairman, APCO Worldwide, USA","Level 1Top Executive"
"Markus Krebber","Co-Chair of the Board, RWE, Germany","Level 1Top Executive"
"Masakazu Kubota","President and Director-General, Keidanren (Japan Business Federation), Japan","Level 1Top Executive"
"André Kudelski","Chairman of the Board and Chief Executive Officer, Kudelski Group, Switzerland","Level 1Top Executive"
"Rajnish Kumar","Chairman, State Bank of India, India","Level 1Top Executive"
"Maria Teresa Kumar","President and Chief Executive Officer, Voto Latino, USA","Level 1Top Executive"
"Nobuaki Kurumatani","Chairman and Chief Executive Officer, Toshiba, Japan","Level 1Top Executive"
"Nabil R. Kuzbari","President and Chief Executive Officer, Vimpex Handels, Austria","Level 1Top Executive"
"Andrey Kuziaev","President, ER-Telecom Holding, Russian Federation","Level 1Top Executive"
"Kristina Lagerstedt","Chief Executive Officer, Founder, 1928 diagnostics, Sweden","Level 1Top Executive"
